type,value,comment
sha256,beb56c342b042ecbe09ec125266fbd8494fe7424b195f443b4046e91113c4092,https://x.com/banthisguy9349/status/1900885588686798885
ip-dst,89.23.102.235,https://x.com/malwrhunterteam/status/1900892024594727078
ip-dst,109.202.202.202,https://x.com/ShanHolo/status/1900904317428662682
ip-dst,91.189.91.42,https://x.com/ShanHolo/status/1900904317428662682
ip-dst,91.189.91.43,https://x.com/ShanHolo/status/1900904317428662682
ip-dst,45.139.104.34,https://x.com/karol_paciorek/status/1900963548655665260
md5,4ec46af3b1abfb57bab0c23c4db11a79,https://x.com/PrakkiSathwik/status/1900966613022896275
md5,725d4b46eff92826810003b6f96a7a63,https://x.com/PrakkiSathwik/status/1900966613022896275
md5,caca317e72152c5d806c788d5efd4c6b,https://x.com/PrakkiSathwik/status/1900966617497936001
md5,e54b1c7809882fb86e246514825ac4f6,https://x.com/PrakkiSathwik/status/1900966617497936001
md5,721b823f89c82b0d749d9fed76eebb46,https://x.com/PrakkiSathwik/status/1900966617497936001
md5,3765ce9b86a33dc45633650ee5c89e33,https://x.com/PrakkiSathwik/status/1900966617497936001
ip-dst,176.123.169.64,https://x.com/drb_ra/status/1900981616048324711
ip-dst,144.172.94.119,https://x.com/drb_ra/status/1900981648319008879
ip-dst,152.42.251.12,https://x.com/drb_ra/status/1900981722063532274
ip-dst,213.232.204.203,https://x.com/drb_ra/status/1900981744297185433
ip-dst,102.117.166.249,https://x.com/drb_ra/status/1900981756263830008
ip-dst,60.191.87.75,https://x.com/drb_ra/status/1900981792938602890
ip-dst,64.30.105.41,https://x.com/drb_ra/status/1900981913839378807
ip-dst,207.180.205.17,https://x.com/drb_ra/status/1900981975512473615
ip-dst,54.170.149.204,https://x.com/drb_ra/status/1900982027232424163
ip-dst,160.202.133.163,https://x.com/drb_ra/status/1900982137161236985
ip-dst,54.232.43.57,https://x.com/drb_ra/status/1900982228772942179
ip-dst,128.90.106.84,https://x.com/drb_ra/status/1900982263338127399
ip-dst,34.245.27.35,https://x.com/drb_ra/status/1900982281642152139
sha256,07f691ab779d09d6695241033359de94b311e4fb7a6d445d1e03ff42f4817d11,https://x.com/malwrhunterteam/status/1900982530788012205
ip-dst,64.94.85.137,https://x.com/drb_ra/status/1900982798325895407
ip-dst,185.236.231.168,https://x.com/drb_ra/status/1900982816701333611
ip-dst,47.108.249.44,https://x.com/drb_ra/status/1900982833948119185
ip-dst,44.246.194.239,https://x.com/drb_ra/status/1900982853023727847
sha256,6f7f8a1e90be552e0c4b0c1f0eceee0897192b03ba78496e67f232686bc11a67,https://x.com/malwrhunterteam/status/1900986584327213194
sha256,6fe37a5615b3c47e4c6f7eb7eca0bdcab9e05db9a39a1b6ec83917eed7bb72ba,https://x.com/malwrhunterteam/status/1900997157341049132
ip-dst,47.113.104.43,https://x.com/drb_ra/status/1901022291028218067
sha256,3f3ab59bd10c90cff308c64b4cbe1da00ddc9d2e209eddb9201c3a7014f65845,https://x.com/1ZRR4H/status/1901024354655498481
ip-dst,107.189.2.38,https://x.com/drb_ra/status/1901045570392699118
ip-dst,103.119.47.243,https://x.com/drb_ra/status/1901045589195850046
ip-dst,111.231.74.72,https://x.com/drb_ra/status/1901045607256449069
ip-dst,13.200.162.35,https://x.com/drb_ra/status/1901045625543680470
ip-dst,39.105.119.245,https://x.com/drb_ra/status/1901045667339849781
ip-dst,47.123.5.132,https://x.com/drb_ra/status/1901045686818181429
ip-dst,223.10.18.163,https://x.com/threatquery/status/1901080375213855085
ip-dst,64.30.105.41,https://x.com/threatquery/status/1901080373469335788
ip-dst,182.117.14.149,https://x.com/threatquery/status/1901080376724123660
ip-dst,124.221.41.140,https://x.com/drb_ra/status/1901098776481120726
ip-dst,62.234.69.114,https://x.com/drb_ra/status/1901098793866543593
ip-dst,172.86.115.43,https://x.com/TRACLabs_/status/1901114766015263229
md5,d7d28006e0679b1f2ea0a87ba94f4af0,https://x.com/petikvx/status/1901161590260478180
sha256,e28b0a93649010788bbeda883a08254fefe3710700fc2c5a8dea94ec39402ec3,https://x.com/petikvx/status/1901161590260478180
ip-dst,212.216.175.143,https://x.com/drb_ra/status/1901162847809499568
ip-dst,47.89.66.105,https://x.com/drb_ra/status/1901162941199904829
ip-dst,23.22.231.93,https://x.com/drb_ra/status/1901163008262312352
ip-dst,45.154.2.136,https://x.com/drb_ra/status/1901163026000089442
ip-dst,186.169.55.183,https://x.com/drb_ra/status/1901163109185896553
ip-dst,54.85.79.64,https://x.com/drb_ra/status/1901163177406329165
ip-dst,18.171.214.155,https://x.com/drb_ra/status/1901163349200732642
ip-dst,89.23.113.129,https://x.com/drb_ra/status/1901163493430358018
ip-dst,201.231.116.148,https://x.com/drb_ra/status/1901163544587948398
ip-dst,81.198.113.138,https://x.com/drb_ra/status/1901163579618861314
ip-dst,196.251.118.6,https://x.com/drb_ra/status/1901163598560276784
ip-dst,64.23.163.5,https://x.com/drb_ra/status/1901163615052325311
ip-dst,185.118.79.175,https://x.com/drb_ra/status/1901163633100427458
ip-dst,104.245.241.71,https://x.com/drb_ra/status/1901164150325149972
ip-dst,96.239.119.185,https://x.com/drb_ra/status/1901164167949697408
md5,cfe38174907801a72ebd5cf709fd2a02,https://x.com/petikvx/status/1901165274008564146
sha256,3b2687884f2cc8710fabcfa39264a6fa2056d5178b1a9aba027a74abdf273ed6,https://x.com/petikvx/status/1901165274008564146
ip-dst,43.167.195.24,https://x.com/harugasumi/status/1901175654810612135
ip-dst,43.131.249.133,https://x.com/harugasumi/status/1901194063824793704
ip-dst,43.133.196.152,https://x.com/harugasumi/status/1901194063824793704
md5,4c7a3f8c6b436d334a8d41ad27efec7e,https://x.com/ShanHolo/status/1901213759621706184
ip-dst,198.58.106.204,https://x.com/ShanHolo/status/1901213761962123364
ip-dst,173.255.204.62,https://x.com/ShanHolo/status/1901213761962123364
sha256,2141e72de73dbd698efb3c9da15515e0e78bf8032963001f9e5e89319b6a349a,https://x.com/ShanHolo/status/1901213761962123364
ip-dst,148.135.120.139,https://x.com/drb_ra/status/1901233211151118561
ip-dst,154.205.157.83,https://x.com/drb_ra/status/1901233263051522417
ip-dst,134.122.190.233,https://x.com/drb_ra/status/1901233286065672352
ip-dst,39.105.6.249,https://x.com/drb_ra/status/1901233327463428382
ip-dst,113.45.60.125,https://x.com/drb_ra/status/1901233448670629986
sha256,92348f164c1e42ec1f531d66bea76d65aed9f6bd4187000c0baf92edd3050fb5,https://x.com/Fact_Finder03/status/1901233940930662665
ip-dst,45.139.104.132,https://x.com/karol_paciorek/status/1901257908681060467
ip-dst,52.77.3.235,https://x.com/SarlackLab/status/1901262746617844146
ip-dst,91.213.188.10,https://x.com/yvesago/status/1901282614629085509
ip-dst,164.92.154.140,https://x.com/drb_ra/status/1901344021932363810
ip-dst,217.91.41.232,https://x.com/drb_ra/status/1901344165776244829
ip-dst,46.246.143.30,https://x.com/drb_ra/status/1901344295917072722
ip-dst,104.194.153.3,https://x.com/drb_ra/status/1901344354377335099
ip-dst,44.218.1.31,https://x.com/drb_ra/status/1901344452699934777
ip-dst,71.37.90.148,https://x.com/drb_ra/status/1901344518034604160
ip-dst,45.88.186.159,https://x.com/drb_ra/status/1901344551484137891
ip-dst,188.216.158.169,https://x.com/drb_ra/status/1901344585064100068
ip-dst,83.49.90.149,https://x.com/drb_ra/status/1901344611559260548
ip-dst,52.67.231.24,https://x.com/drb_ra/status/1901344633357000993
