event_id,type,value,comment
,sha256,b28bae662cc1adb81aa0a6dddc0397af6ed98ff69cd35c7ff2ee8a6fb10c0308,mimikatz
,sha256,61e78d2ec596fcfac3dbb67e9002b5d9af77e4a51a120a491242d9a46ffb86c2,mimikatz
,sha256,f2ba2cf60e96f333db151779e565cb425df60f5f3d495150afb9c7483fa5df0f,mimikatz
,sha256,54050b64ba5f0c0f697db7d99041a810a59aa979c99e7680c4022075696024d5,mimikatz
,sha256,496521637da898acdea88b155e4cc608efcdaf4abb450ab38ad014d7a851ee41,mimikatz
,sha256,6eb0dd2aedaa29dbf94322bc8ae71cb7c301a55126523c1acc509e24bb3e9da9,mimikatz
,sha256,22942aa3fb0c1f787c24ecd1f9742ed39b6288e046d5ec7e6bb835411c50332b,mimikatz
,sha256,2de38e3a055da9a830c6cbee04479c189fe0392185b6ea23a872013088241660,plugx
,sha256,8fc988a922974d0fb13ab813a9d7775c1a1863673d09594a7e39b642bf9b238d,plugx
,sha256,28d9fc9205096cf8e422466315d93e5cc8dab897ce6aa8fa5c56899e47f5dde2,plugx
,sha256,100769daac421ad414e5c0d08ca5241270f166b490c1e8d0003d5989144ce000,plugx
,sha256,9d65f25b0c54dfdd6f474cdb09593ebda987764febce11190efac88da6844c16,plugx
,sha256,23ba218db8005873dd07adfbfa3df36a818fd50931c4730359aab67f4253da62,plugx
,sha256,c01726acbb22f86d035d0965e228d7f741e2b7552e093252fe1839656f8d7870,plugx
,sha256,71b34a14f5d7b93201fc7968dca8b2d4683a51bdec5cd3026a0d2b1c1e50b0de,plugx
,sha256,1428e175e6e93f1a495df58f0736d3b35dc7b1a021a98c61f1e0e309d86af5c4,plugx
,sha256,40d76db8770ea43823b8e685627ccd873bf1a3f22e1bedc8a9eb314d0eb7c4c4,plugx
,sha256,1d047628e00a97df5039998dd60f4f0dac69225ca0a4511329260bd6b1df55d7,plugx
,sha256,05c0e3d72db6b581fc3f9c683610583738f43533c706c3d64a58ffe9bd5a0625,plugx
,sha256,71e5d0364155dbc6eaeb19a48a45b7e135fe98657d73fa32c5541ba1d9c1b346,plugx
,sha256,b5ae8f5ec20aa284e042699a6ff3a23a1e0ba7dc8ec729696e08a39f9cb3818f,plugx
,sha256,7d3fcc67329fd06e0e0f0ff5e94228e0665f21209127bd8b49eb024e5c377e6b,plugx
,sha256,88b8b24740bc916df40eb01113ce0fbc6e3a27d99e93bf0581e97f579f364986,plugx
,sha256,c4a3f77c2f6edf96deb6430e43a035385ea1d1c9896993b1aeaf5f3fcf30125b,plugx
,sha256,6569dd6850e00a82ea3fb43bb64dd70c0c6c09a8edbe1d8846762866a062c60b,plugx
,sha256,c14ced138bdc4862c8ab01ef8c8514173787d2e9deb335f19266682e89a6905d,plugx
,sha256,d804674877689c2652810afc722247070726203fcb17296c0c1c96ba6e42b765,plugx
,sha256,5b48795d6bf92d20bb614a27a1261520cadcbdaf6da13ef829dc7feb22a07484,shellcode
,sha256,a07cccb3a3d9a513ae6be3c0665fd9368666b2a06b726702b9ec12189437c05e,shellcode
,sha256,7525d9fb40d86d59469eb21be27e1839ab43220d3c9a5d42b09c4d41ec658739,shellcode
,sha256,48874eb4b22f0378121508d23035b14ae61036a6b75dc8b75ea9f3c4226abd50,shellcode
,sha256,c21480e21d76a884a4181f4600ea7999f900df134c503f156644e68f5f69bd77,shellcode
,sha256,d01a79c03244ec514a16350639b5a39fdb2a115a7686e34324b0339d57d2e6c0,shellcode
,sha256,77e2b1540bd5fa246f51d82851b4e8857f99e72412865066cd26ccb4b64744b3,shellcode
,sha256,6398a4f08da911b5377a9c701e115e02d97eb4d339e4435f2beaa179245e8a6b,shellcode
,sha256,fde5bc7790d1db73ea804438202b150a53b1f99d6b07e74f06e9b53d830d516b,shellcode
,sha256,d935e1b5af7f28d5603b8334109269cdab5ee22015c9745fb95e835a494cbab5,shellcode
,sha256,9955718ee6a5f83714505d18e4b8f73d088068ddacb3095e73953ac708c0bd97,shellcode
,sha256,d0fc3ddd87afa980fef25946b3482c6774c6fd889eff9c807083d8b06f5ec587,shellcode
,sha256,4cee92e1d0c1f9474e2729e0f0dac1b818f0a9a8261a9ef90c1ca07803692027,shellcode
,sha256,8ad83abebb49982992786f11e4af0a96b386df90742e38c8b18f970705152db2,shellcode
,sha256,b09d77a8ee88c1163c133bd1aefd893bd0f3b9c783d14388472298c8ae85ab2b,shellcode
,sha256,1367d9fb045032e59d5efd7a21f03a839b7583dff46ed4d934e7d5cf88039810,shellcode
,sha256,ac30656fa549f56f38dd772faa4457632b9691c8b6bfc19076b0465dc9f86b7d,shellcode
,sha256,a83e0a5a9a20496743fc3105aa49ebecf8fb61c2a0eb3c79d3d4b05c8373abcd,shellcode
,sha256,59f49751dee82a54f0e4a23faf55468234ead654e6f5dea57cc48685dc4933d2,shellcode
,sha256,666451fbdd55cc6527fc7aec053531af5eecda85e3c185251e57577410d64822,shellcode
,sha256,0289f9e95e9b224bd504bbe14351c4d057c039b53c6871711513b577595ac4d5,shellcode
,sha256,28fe0340e451f1b43c440d16513b0b2f9d6aeaa90c13a6e64f2c8cec307ee8a4,shellcode
,sha256,fb7b066f3e4a1c7324ac6a33c23502a27af0a1c079c6a3cd5f8f4d621c910cf8,shellcode
